Altium Designer Pick and Place Locations
C:\workspace\USB-TTL\Project Outputs for USB_TTL\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       27/02/23
Time:       00:00
Revision:   24774320ef19caa67e2d558ab18ff097ec02f542
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R2","300¦¸","TopLayer","0603_R","-355.000","-184.685","270","ÌùÆ¬µç×è, 300¦¸ (3000) ¡À1%"
"D1","1N4148WS T4","TopLayer","SOD-323","-240.000","-196.457","270","¶þ¼«¹Ü"
"U1","CP2102-GMR","TopLayer","SLAB-QFN-28-3125x3125TP_M","-273.103","2.176","180","Single-Chip USB to URAT Bridge, 3.3 V, -40 to 85 degC, 28-Pin QFN, RoHS, Tape and Reel"
"R1","10K¦¸","TopLayer","0402_R","-273.103","191.320","90","ÌùÆ¬µç×è, 10K¦¸ (1002) ¡À1%"
"J3","SM04B-GHS-TB(LF)(SN)","BottomLayer","FP-SM04B-GHS-TB_LF_SN-MFG","-545.908","0.000","90","CONN HEADER SMD R/A 4POS 1.25MM"
"J2","SM04B-GHS-TB(LF)(SN)","TopLayer","FP-SM04B-GHS-TB_LF_SN-MFG","-545.908","0.000","270","CONN HEADER SMD R/A 4POS 1.25MM"
"J1","480-37-1000","BottomLayer","MOLX-480-37-1000_V","88.078","-0.619","270","Universal Serial Bus (USB) Shielded I/O Plug, Type A, Right Angle Connector, 1.5 A, -20 to 85 degC, 4-Pin SMD, RoHS, Tray"
"C3","100nF","TopLayer","0402_C","-50.000","-23.268","90","ÌùÆ¬µçÈÝ, 100nF (104) 10% 16V"
"C2","100nF","TopLayer","0402_C","-78.268","75.000","180","ÌùÆ¬µçÈÝ, 100nF (104) 10% 16V"
"C1","1uF","TopLayer","0603_C","-165.000","189.685","270","ÌùÆ¬µçÈÝ, 1uF (105) 10% 50V"
